"","iphash","fingerprint","ipid","q","skip","type","ntrials","startweight","endweight","modeweight","len","unique.weights","time.trial"
"1","02fa6fe70107e0a9974f3e9502ee0a94","9c1d8870d1e854ca55b385a84630a5a0","72.68.1",0,0,"y",2,0,0.2,0.2,17,12,47
"2","02fa6fe70107e0a9974f3e9502ee0a94","9c1d8870d1e854ca55b385a84630a5a0","72.68.1",1,0,"x",2,0.2,0.85,0.85,7,6,19
"3","03de4440505c7a8a4bd12d4c3d723df8","f4c9f96ccdc5d2d89befdfa04785fd63","86.167.117",0,0,"y",1,0,0.525,0,10,10,17
"4","0ab5f91fcb4c663760fe21ce0bb42e96","fcbe495147ca105e27c67dd6f75fe9d3","92.18.171",0,0,"x",1,0.75,0.75,0.75,1,1,0
"5","0c7a8b314184066b55f9d5f155a069b6","764917b3c0254f9b1a01b63ab860eabb","137.22.172",0,0,"x",2,0,0.2,0,13,6,36
"6","0c7a8b314184066b55f9d5f155a069b6","764917b3c0254f9b1a01b63ab860eabb","137.22.172",1,0,"y",2,0.2,0.2,0.2,1,1,0
"7","0cd1879753397b4fa718b4f647f6a42d","09b6960ee5145c21a721c02b70d0e8fc","131.231.195",0,0,"y",2,0,0.2,0.25,96,36,2.63333333333333
"8","0cd1879753397b4fa718b4f647f6a42d","09b6960ee5145c21a721c02b70d0e8fc","131.231.195",1,0,"y",2,0.2,0.75,0.2,2,2,2
"9","0fdd83c05fdbd7ac28638578bed6126d","fff843074c6d7b5a7f49b4316ed3afa1","69.159.113",0,0,"x",2,0,0.7,0.7,19,18,47
"10","0fdd83c05fdbd7ac28638578bed6126d","fff843074c6d7b5a7f49b4316ed3afa1","69.159.113",1,0,"y",2,0.7,0.725,0.7,2,2,4
"11","0fdfc216cf365ab509e62d4c2b6bc9af","920de3a67e500bf70c5816d82db6a1b4","88.230.250",0,0,"x",2,0,0,0,15,8,41
"12","0fdfc216cf365ab509e62d4c2b6bc9af","920de3a67e500bf70c5816d82db6a1b4","88.230.250",1,0,"y",2,0,0,0,5,4,15
"13","133d5527a22928958d7dabbb024723f9","2d885f7c07e703311ef2ed2044b5fce0","174.251.97",0,0,"x",13,0,0.0999999999999996,0,12,10,3.7
